Rank,Country,GDP_Nominal,GDP_Billions,Year
1,World,126295331.0,126295331.0,2026
2,United States,32383920.0,32383920.0,2026
3,China [ n 1 ],20851593.0,20851593.0,2026
4,Germany,5452858.0,5452858.0,2026
5,Japan,4379253.0,4379253.0,2026
6,United Kingdom,4264794.0,4264794.0,2026
7,India,4153191.0,4153191.0,2026
8,France,3596094.0,3596094.0,2026
9,Italy,2738164.0,2738164.0,2026
10,Russia,2656452.0,2656452.0,2026
11,Brazil,2635912.0,2635912.0,2026
12,Canada,2507340.0,2507340.0,2026
13,Australia,2123963.0,2123963.0,2026
14,Mexico,2120855.0,2120855.0,2026
15,Spain,2091222.0,2091222.0,2026
16,South Korea,1931008.0,1931008.0,2026
17,Turkey,1640223.0,1640223.0,2026
18,Indonesia,1539872.0,1539872.0,2026
19,Netherlands,1449704.0,1449704.0,2026
20,Saudi Arabia,1388676.0,1388676.0,2026
21,Switzerland,1146911.0,1146911.0,2026
22,Poland,1134248.0,1134248.0,2026
23,Taiwan [ n 3 ],976719.0,976719.0,2026
24,Ireland,779381.0,779381.0,2026
25,Belgium,776730.0,776730.0,2026
26,Sweden,760481.0,760481.0,2026
27,Israel,719848.0,719848.0,2026
28,Argentina,688378.0,688378.0,2026
29,Singapore,659572.0,659572.0,2026
30,Austria,623719.0,623719.0,2026
31,United Arab Emirates,621546.0,621546.0,2026
32,Norway,599406.0,599406.0,2026
33,Thailand,579996.0,579996.0,2026
34,Colombia,539530.0,539530.0,2026
35,Vietnam,527266.0,527266.0,2026
36,Malaysia,516428.0,516428.0,2026
37,Philippines,512222.0,512222.0,2026
38,Bangladesh,510705.0,510705.0,2026
39,Denmark,503772.0,503772.0,2026
40,Romania,480834.0,480834.0,2026
41,South Africa,479964.0,479964.0,2026
42,Pakistan,452192.0,452192.0,2026
43,Hong Kong [ n 4 ],450138.0,450138.0,2026
44,Czech Republic,432597.0,432597.0,2026
45,Egypt,429645.0,429645.0,2026
46,Chile,407850.0,407850.0,2026
47,Peru,380900.0,380900.0,2026
48,Portugal,380637.0,380637.0,2026
49,Nigeria,377365.0,377365.0,2026
50,Kazakhstan,360456.0,360456.0,2026
51,Finland,337669.0,337669.0,2026
52,Algeria,317173.0,317173.0,2026
53,Greece,307554.0,307554.0,2026
54,Iran,300293.0,300293.0,2026
55,New Zealand,278636.0,278636.0,2026
56,Hungary,271122.0,271122.0,2026
57,Iraq,264784.0,264784.0,2026
58,Ukraine [ n 5 ],225337.0,225337.0,2026
59,Qatar,217416.0,217416.0,2026
60,Morocco,194333.0,194333.0,2026
61,Uzbekistan,181502.0,181502.0,2026
62,Kuwait,172920.0,172920.0,2026
63,Slovakia,168897.0,168897.0,2026
64,Angola,152354.0,152354.0,2026
65,Bulgaria,148121.0,148121.0,2026
66,Kenya,147265.0,147265.0,2026
67,Ecuador,138194.0,138194.0,2026
68,Dominican Republic,136148.0,136148.0,2026
69,Puerto Rico,129012.0,129012.0,2026
70,Guatemala,128886.0,128886.0,2026
71,DR Congo,123406.0,123406.0,2026
72,Ethiopia,122727.0,122727.0,2026
73,Ghana,118293.0,118293.0,2026
74,Oman,117176.0,117176.0,2026
75,Croatia,116574.0,116574.0,2026
76,Ivory Coast,112115.0,112115.0,2026
77,Serbia,112025.0,112025.0,2026
78,Venezuela,111303.0,111303.0,2026
79,Luxembourg,110417.0,110417.0,2026
80,Costa Rica,109931.0,109931.0,2026
81,Lithuania,105907.0,105907.0,2026
82,Belarus,102042.0,102042.0,2026
83,Sri Lanka,98964.0,98964.0,2026
84,Uruguay,96092.0,96092.0,2026
85,Panama,95024.0,95024.0,2026
86,Tanzania [ n 6 ],94889.0,94889.0,2026
87,Slovenia,86732.0,86732.0,2026
88,Myanmar,83832.0,83832.0,2026
89,Turkmenistan,83065.0,83065.0,2026
90,Bolivia,80743.0,80743.0,2026
91,Azerbaijan,78372.0,78372.0,2026
92,Uganda,73370.0,73370.0,2026
93,Cameroon,65135.0,65135.0,2026
94,Jordan,64909.0,64909.0,2026
95,Tunisia,60745.0,60745.0,2026
96,Paraguay,60542.0,60542.0,2026
97,Zimbabwe,56713.0,56713.0,2026
98,Macau [ n 7 ],54228.0,54228.0,2026
99,Latvia,53686.0,53686.0,2026
100,Libya,52453.0,52453.0,2026
101,Cambodia,52379.0,52379.0,2026
102,Estonia,51634.0,51634.0,2026
103,Bahrain,48849.0,48849.0,2026
104,Nepal,45844.0,45844.0,2026
105,Cyprus [ n 8 ],45171.0,45171.0,2026
106,Sudan,44688.0,44688.0,2026
107,Iceland,43800.0,43800.0,2026
108,Georgia [ n 9 ],42716.0,42716.0,2026
109,Honduras,41505.0,41505.0,2026
110,Zambia,41243.0,41243.0,2026
111,Senegal,40469.0,40469.0,2026
112,El Salvador,39838.0,39838.0,2026
113,Haiti,39180.0,39180.0,2026
114,Bosnia and Herzegovina,36771.0,36771.0,2026
115,Lebanon,34497.0,34497.0,2026
116,Papua New Guinea,34403.0,34403.0,2026
117,Guyana,33961.0,33961.0,2026
118,Mali,33847.0,33847.0,2026
119,Albania,33333.0,33333.0,2026
120,Burkina Faso,32513.0,32513.0,2026
121,Armenia,31873.0,31873.0,2026
122,Malta,30712.0,30712.0,2026
123,Guinea,29930.0,29930.0,2026
124,Mongolia,28450.0,28450.0,2026
125,Benin,27786.0,27786.0,2026
126,Trinidad and Tobago,26836.0,26836.0,2026
127,Chad,25628.0,25628.0,2026
128,Niger,24813.0,24813.0,2026
129,Nicaragua,24227.0,24227.0,2026
130,Kyrgyzstan,23606.0,23606.0,2026
131,Gabon,23363.0,23363.0,2026
132,Mozambique,23275.0,23275.0,2026
133,Jamaica,23028.0,23028.0,2026
134,Botswana,21937.0,21937.0,2026
135,Moldova [ n 10 ],21889.0,21889.0,2026
136,North Macedonia,21605.0,21605.0,2026
137,Madagascar,21185.0,21185.0,2026
138,Tajikistan,20418.0,20418.0,2026
139,Afghanistan,19662.0,19662.0,2026
140,Laos,18959.0,18959.0,2026
141,Malawi,18152.0,18152.0,2026
142,Rwanda,17336.0,17336.0,2026
143,Namibia,17314.0,17314.0,2026
144,Mauritius,17119.0,17119.0,2026
145,Bahamas,17042.0,17042.0,2026
146,Congo,17028.0,17028.0,2026
147,Brunei,16863.0,16863.0,2026
148,Palestine [ n 11 ] [ n 12 ],16017.0,16017.0,2026
149,Mauritania,14352.0,14352.0,2026
150,Somalia,14174.0,14174.0,2026
151,Kosovo,14053.0,14053.0,2026
152,Equatorial Guinea,13722.0,13722.0,2026
153,Togo,13437.0,13437.0,2026
154,Montenegro,10227.0,10227.0,2026
155,Liechtenstein,9442.0,9442.0,2026
